uid, format_version, puid, format, mimetype, size, creating_application_name, lastmodified, created, checksum_md5, lastmodified_fs, original, wellformed, valid, byteorder, title, charset, author, compression_scheme, pagecount, markupbasis, is_tagged, image_width, has_outline, markupBasisVersion, has_annotations, image_height, is_rightsmanaged, is_protected, has_forms, colorspace, YCbCrSubSampling, sampling_frequency_unit, sampling_frequency_x, sampling_frequency_y, bitspersample, samplesperpixel, lightsource, referenceBlackWhite, orientation, scanner_softwarename, linebreak, icc_profile_name, icc_profile_version, message, bit_depth, samplerate, channels, audio_dataencoding, offset, language, wordcount, charactercount, tablecount, graphicsCount, 
http://demo.roda-community.org/roda-core/get/roda:122/F0, 1.0, fmt/101, Extensible Markup Language, text/xml, 403, , Mon Jul 02 11:10:10 CEST 2012, , 18cca1eae9f9d3e067c7d7da8f7dc191, Mon Jul 02 11:10:10 CEST 2012, true, true, true, , , UTF-8, , , , XML, , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:112/F0, 1.4, fmt/18, Portable Document Format, application/pdf, 946634, Acrobat Distiller 8.1.0 (Macintosh)/Word: cgpdftops CUPS filter, Mon Jul 02 11:10:17 CEST 2012, Mon Apr 21 23:39:16 CEST 2008, 46b2e2381eedee5fa8798f756163c43c, Mon Jul 02 11:10:17 CEST 2012, true, true, true, , Microsoft Word - JOCCH08-0.10.doc, , Miguel Ferreira, , 25, , false, , false, , false, , false, false, false, , , , , , , , , , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:125/F0, 1.0, fmt/101, Extensible Markup Language, text/xml, 403, , Mon Jul 02 11:10:04 CEST 2012, , 18cca1eae9f9d3e067c7d7da8f7dc191, Mon Jul 02 11:10:04 CEST 2012, false, true, true, , , UTF-8, , , , XML, , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:107/F0, 1.4, fmt/18, Portable Document Format, application/pdf, 135078, Acrobat Distiller 6.0 (Windows)/PScript5.dll Version 5.2, Mon Jul 02 11:10:21 CEST 2012, Wed Dec 21 17:18:31 CET 2005, 8c4d40f6422474a28f888186f5f21557, Mon Jul 02 11:10:21 CEST 2012, true, true, true, , Microsoft Word - Calendrier_de_conservation_archives_judiciaires_PJ_2006.doc, , BAGNOUD, , 11, , false, , false, , false, , false, false, false, , , , , , , , , , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:122/F1, 1.01, fmt/43, JPEG File Interchange Format, image/jpeg, 340582, , Mon Jul 02 11:10:13 CEST 2012, , bab35766f8e9332b032d2a0c57749090, Mon Jul 02 11:10:13 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1024, , , , 576, , , , YCbCr, 1 1, in., 72.0, 72.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:151/F0, 1.0, fmt/101, Extensible Markup Language, text/xml, 511, , Mon Jul 02 11:09:48 CEST 2012, , 531d58de0a02115711b6cf98e883b36d, Mon Jul 02 11:09:48 CEST 2012, true, true, true, , , UTF-8, , , , XML, , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:125/F1, CONFLICT, fmt/10, Tagged Image File Format, image/tiff, 1772133, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, Mon Jul 02 11:10:07 CEST 2012, , e84813dbda0cce17d73017542c5635d2, Mon Jul 02 11:10:07 CEST 2012, false, true, true, little endian, , , , Uncompressed, , , , 1024, , , , 576, , , , RGB, , in., 72.0, 72.0, 8 8 8, 3, , 0.0 255.0 0.0 255.0 0.0 255.0, normal*, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:151/F1, 1.01, fmt/43, JPEG File Interchange Format, image/jpeg, 491041, , Mon Jul 02 11:09:52 CEST 2012, , fefdcc77ce549953279fb6cd19423e6a, Mon Jul 02 11:09:52 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 2 2, no absolute unit of measurement, 1.0, 1.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:154/F0, 1.0, fmt/101, Extensible Markup Language, text/xml, 511, , Mon Jul 02 11:09:34 CEST 2012, , 531d58de0a02115711b6cf98e883b36d, Mon Jul 02 11:09:34 CEST 2012, false, true, true, , , UTF-8, , , , XML, , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:151/F2, 1.01, fmt/43, JPEG File Interchange Format, image/jpeg, 116034, Paint.NET v3.36, Mon Jul 02 11:09:55 CEST 2012, , 47cdc6fe40044c411d283c478d2af78c, Mon Jul 02 11:09:55 CEST 2012, true, , , , , , , , , , , 989, , , , 614, , , , , 2 2, in., 96.0, 96.0, 8 8 8, , unknown, , , Paint.NET v3.36, , , , , , , , , , , , , , , 
